标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
兰亭二期 三房两卫 前排景观湘江 满五唯一,兰亭湾畔二期三期 ,洋湖垸,147,12396,3室1厅,118.59,南 北,毛坯,中楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104111347659.html
位置好，视野宽阔采光好，设备齐全，交通便利,远洋外滩壹号 ,观沙岭,55,11808,1室1厅,46.58,西,其他,低楼层(共37层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112348654.html
人人乐进地铁口 小高层洋房 户型通透 一梯两户 宜居,长房西郡 ,河西人人乐,99.5,7418,3室2厅,134.15,南 北,精装,中楼层(共5层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104110424095.html
首推 滨江芯 四大法宝加持 22年次新天王级楼盘,龙湖春江郦城 ,滨江新城,228,20358,3室2厅,112,南,精装,低楼层(共34层),2021年,板楼,https://cs.lianjia.com/ershoufang/104109654766.html
中铁西江悦 3室2厅 南,中铁西江悦 ,观沙岭,143,13769,3室2厅,103.86,南,毛坯,中楼层(共27层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111435774.html
麓山翰林院 中间楼层  户型方正 视野好,麓山翰林苑 ,王家湾,138,11040,3室2厅,125,南 北,其他,中楼层(共10层),2012年,板楼,https://cs.lianjia.com/ershoufang/104113376701.html
蓝光雍锦阁 四房通透 一线湖景 次新小区 博才西湖,蓝光雍锦阁 ,桐梓坡,229,15984,4室2厅,143.27,南,其他,高楼层(共21层),2019年,板楼,https://cs.lianjia.com/ershoufang/104112802231.html
市府板块 荣泰广场 次新小区 三房毛坯 随时看房,荣泰广场 ,河西人人乐,96,10404,3室2厅,92.28,南,其他,高楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112753782.html
滨江优质地段，此房楼层好，前面无遮挡，无连廊结构,卓越中寰 ,滨江新城,225,20293,3室2厅,110.88,东 南,其他,低楼层(共46层) ,,板楼,https://cs.lianjia.com/ershoufang/104113292968.html
阳光丽城 4室1厅 南,阳光丽城 ,观沙岭,238.8,17509,4室1厅,136.39,南,其他,低楼层(共27层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112996291.html
协信星澜汇 2室1厅 南,协信星澜汇 ,观沙岭,128,15907,2室1厅,80.47,南,其他,中楼层(共34层) ,,板楼,https://cs.lianjia.com/ershoufang/104113114081.html
时代梅溪领峰 4室2厅 南,时代梅溪领峰 ,东方红,285,20187,4室2厅,141.18,南,其他,中楼层(共44层) ,,板楼,https://cs.lianjia.com/ershoufang/104113611266.html
远洋外滩壹号  中间层 一线江景  满五唯一 看房方便,远洋外滩壹号 ,观沙岭,408,24292,4室2厅,167.96,南 北,毛坯,中楼层(共37层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113193721.html
北辰三角洲奥城E3区 1室1厅 南,北辰三角洲奥城E3区 ,北辰三角洲,62,12460,1室1厅,49.76,南,其他,低楼层(共48层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113493336.html
烈士公园省博物馆62平2房业主诚心出售,兴通商住楼 ,烈士公园,32,5099,2室2厅,62.76,南,简装,中楼层(共7层),1994年,板楼,https://cs.lianjia.com/ershoufang/104104369616.html
怡然四方锦城 清水毛坯 有钥匙可以随时看房 中间楼层,怡然四方锦城 ,四方坪,75,8157,2室2厅,91.95,南,毛坯,中楼层(共18层) ,,板楼,https://cs.lianjia.com/ershoufang/104113508224.html
开福北秀峰公园旁山语城三期毛坯两房诚心出售！,中国铁建山语城三期 ,金霞,62,8465,2室2厅,73.25,南,毛坯,中楼层(共34层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104108191018.html
地铁口 钱隆世家 南北通透三房 双阳台 拎包入住,钱隆世家 ,金霞,125,10220,4室2厅,122.31,南 北,精装,中楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104113564948.html
堤亚纳湾湖景房 次新小区  南北通透  户型周正,深业堤亚纳湾四期 ,金霞,135,9429,4室2厅,143.19,南 北,其他,高楼层(共29层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113563559.html
一号线地铁口 复式双阳台 天燃气入户可注册公司,金地兰亭樾 ,金霞,40,9630,1室1厅,41.54,南,其他,中楼层(共22层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113415700.html
地铁口毛坯三房，交通便利，房本在手，随时看房,恒大御景天下二期 ,金霞,90,8487,3室1厅,106.05,东南,其他,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113099746.html
一线江景无遮挡，户型周正。南北通透,万境潇湘 ,金霞,368,15471,5室2厅,237.87,南 北,其他,中楼层(共26层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113398558.html
免个税、读书方便 靠湘江 很适合居家,世纪城咏江苑 ,湘江世纪城,110,12161,2室2厅,90.46,南,其他,中楼层(共33层),2009年,塔楼,https://cs.lianjia.com/ershoufang/104113592741.html
北辰经典精装三房两卫，万科物业，小区花园。,北辰三角洲奥城E3区 ,北辰三角洲,195,17422,3室2厅,111.93,南,精装,高楼层(共45层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113157631.html
北辰定江洋高层一线江景大平层，业主自住装修,北辰定江洋 ,北辰三角洲,510,25333,3室2厅,201.32,西南,精装,高楼层(共37层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113376428.html
湘雅附一医院地铁口 上下两层复试、另带一空中花园,锦绣华天小区 ,伍家岭,152,9185,4室2厅,165.5,南,简装,高楼层(共17层),2011年,板楼,https://cs.lianjia.com/ershoufang/104113624690.html
品牌家具 园林景观 全屋中，央空调 带暖气片 诚心出售,北辰三角洲奥城E6区 ,北辰三角洲,170,16275,3室2厅,104.46,南,其他,低楼层(共40层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113221343.html
一线江景，视野开阔，安静楼层好，精装修，三阳台,瀚江府 ,北辰三角洲,385,21875,4室2厅,176,南,精装,中楼层(共56层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113486483.html
2梯2户 南北通透 中间楼层 采光无遮挡 带地暖,科大佳园北苑 ,四方坪,170,10625,3室2厅,160,南 北,其他,中楼层(共15层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104113179409.html
瑞都豪庭精装三房 南北通透 带双露台 暖气拎包入住,瑞都豪庭 ,四方坪,98,10977,3室2厅,89.28,南 北,精装,低楼层(共31层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113700079.html
近地铁低楼层 满五唯一业主诚心出售,阳光花园 ,四方坪,58,9244,2室2厅,62.75,南,简装,低楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104113479834.html
富兴高层房，视野开阔，可看江景,富兴时代御城 ,烈士公园,406,21335,4室2厅,190.3,西南 西,毛坯,高楼层(共57层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112684711.html
房东诚意出售户型好，精装修，拎包入住,世纪城聚江苑 ,湘江世纪城,168,11620,4室2厅,144.58,南,其他,中楼层(共23层),2008年,板楼,https://cs.lianjia.com/ershoufang/104113483862.html
满五唯一省个税。精装修拎包入住,北辰三角洲C2区 ,北辰三角洲,178,17113,3室2厅,104.02,南,其他,低楼层(共55层) ,,板楼,https://cs.lianjia.com/ershoufang/104112704134.html
北辰三角洲奥城E3区 1室1厅 东北,北辰三角洲奥城E3区 ,北辰三角洲,75,14267,1室1厅,52.57,东北,精装,中楼层(共48层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113282895.html
浏阳河边 精装全套 家具家电齐全 全房定制衣柜 得房高,金色溪泉湾 ,月湖,128,11241,4室2厅,113.87,南,精装,中楼层(共29层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113126933.html
中山亭黄兴北路培元桥地铁口上城金都一房,上城金都国际公馆 ,松桂园,50,9273,1室1厅,53.92,西,精装,高楼层(共29层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113295763.html
北辰C2区 契税满五唯一，座北朝南，室内安静，双卫,北辰三角洲C2区 ,北辰三角洲,195,16459,3室2厅,118.48,南,简装,中楼层(共46层) ,,板楼,https://cs.lianjia.com/ershoufang/104112721074.html
方便看房，房子装修保养好，采光好，户型好，,金帆小区 ,四方坪,80,6782,3室1厅,117.96,南,其他,中楼层(共8层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110147789.html
恒大叠墅丨大阳台采光好丨绿化度高丨品质小区丨近地铁,恒大御景天下一期 ,金霞,260,18638,3室2厅,139.5,南 北,其他,低楼层(共3层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112823698.html
教育厅三房两厅一卫，105平 业主自住装修拎包入住,湖南省教育厅西院宿舍 ,松桂园,118,16176,3室2厅,72.95,南,其他,高楼层(共5层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113494112.html
楼层好 视野好 通透 大四房近地铁,北辰三角洲C3区 ,北辰三角洲,340,18348,4室2厅,185.31,南 东,其他,中楼层(共45层) ,,板楼,https://cs.lianjia.com/ershoufang/104113532589.html
科大旁地铁口万煦园电梯房户型周正出行方便,万煦园 ,四方坪,100,8260,3室2厅,121.07,南,精装,低楼层(共18层),2007年,板楼,https://cs.lianjia.com/ershoufang/104112728762.html
芙蓉区六号线地铁口精装自住小三房,爵世名邸东湖 ,汽车东站,96,9781,3室2厅,98.15,南,精装,低楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104112409340.html
好房好户型出售 南北双向 前后无遮挡,恒大江湾 ,汽车东站,168,11527,4室2厅,145.75,南 北,精装,32层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104111779109.html
河景房 中间楼层 南北通透 采光好 户型方正,金茂建发观悦 ,汽车东站,236,16524,4室2厅,142.83,南 北,精装,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113009449.html
房本在手，满五唯一，房东诚心出售，有钥匙随时看房。,中交中央公园 ,汽车东站,129,11097,3室2厅,116.25,南,简装,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110805610.html
浏阳河旁 建发观悦 园林风格 南北通透,金茂建发观悦 ,汽车东站,228,15928,4室2厅,143.15,南 北,精装,低楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104113128878.html
建发观悦正地铁口河景南北双阳台大四房,金茂建发观悦 ,汽车东站,228,16005,4室2厅,142.46,南,其他,中楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104112990132.html
精装小3房 拎包入住 家电齐全 燕山 浏阳河旁诚心出售,上东辛顿公寓 ,晚报,79.8,8805,3室2厅,90.64,南,精装,31层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113462797.html
省直机关党校旁/瑞丰苑小区电梯四房两厅诚意出售,瑞丰苑 ,晚报,145,9262,4室2厅,156.57,南 北,简装,中楼层(共11层),2001年,塔楼,https://cs.lianjia.com/ershoufang/104112937770.html
芙蓉区优质好房 近大学 交通方便,教师新村 ,汽车东站,115,8237,4室2厅,139.63,南,其他,中楼层(共7层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113604451.html
汇一城汽车东站精装三房拎包入住居家装修,汇一城 ,汽车东站,88,9557,3室2厅,92.08,南,精装,中楼层(共22层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113577855.html
带个小露台 小两房 近育才双新  满五唯一  适合养老,山水华景 ,马王堆,50,8065,2室1厅,62,西,精装,27层,2008年,塔楼,https://cs.lianjia.com/ershoufang/104113744731.html
一线观景房 视野好 小区自带  空调,红橡华园 ,马王堆,157,14017,3室1厅,112.01,南,其他,高楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112572430.html
6号线地铁口 精装大三房 南北通透户型 随时看房,德政园明心苑 ,德政园,113,8676,3室2厅,130.25,北,其他,高楼层(共6层),2001年,板楼,https://cs.lianjia.com/ershoufang/104111412130.html
正规一室一厅带天然气 小区里面,上东辛顿公寓 ,晚报,42.5,9445,1室1厅,45,南,精装,31层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113670691.html
正万家丽广场，三条地铁，业主自住精装修。,东方新城 ,德政园,96,8529,3室2厅,112.57,南,其他,6层 ,,板楼,https://cs.lianjia.com/ershoufang/104113763181.html
辉煌国际城2期、浏阳河景、次新小区，随时看房。,辉煌国际城二期 ,汽车东站,90,9997,3室2厅,90.03,南,其他,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113489565.html
万家丽地铁口 配套成熟 业主诚心出售 随时看房,东方新城 ,德政园,59,7151,2室2厅,82.51,南 北,其他,6层,2001年,板楼,https://cs.lianjia.com/ershoufang/104113124123.html
20年交付新房南北格局楼层好视野宽阔采光充足配套齐全,金茂建发观悦 ,汽车东站,220,15443,4室2厅,142.46,南,其他,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112906595.html
万家丽双地铁口精装大三房 满五唯一 很诚心卖价格好谈,东玺门 ,马王堆,134,9940,3室2厅,134.82,东南,其他,31层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104112601721.html
审计厅  三湘 大市场  锦泰广场  晚报,湖南省审计科研培训所 ,马王堆,73.8,7751,2室2厅,95.22,南,简装,中楼层(共8层) ,,板楼,https://cs.lianjia.com/ershoufang/104109146040.html
天心阁 省人医旁 正规4房 视野好 中等楼层,万顺家园 ,浏城桥,165,8703,4室2厅,189.59,东南,简装,中楼层(共25层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113069447.html
五一广场双地铁口精装修拎包入住或直接收租金,壹号公馆 ,松桂园,59.6,13733,1室1厅,43.4,西,精装,低楼层(共32层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104113501469.html
万家丽正地铁口 精装两房 朝南 采光好 拎包入住,东玺门 ,马王堆,92.8,10390,2室2厅,89.32,南,其他,34层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104111094976.html
次新小区，自带地暖新风系统，小区坏境优美,芙蓉万国城MOMA ,汽车东站,89,9981,3室2厅,89.17,南,毛坯,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110635534.html
长沙市邮政局宿舍M区  视野宽阔，采光充足.,长沙市邮政局宿舍M区 ,马王堆,116,7857,4室2厅,147.64,南 北,其他,中楼层(共8层) ,,板楼,https://cs.lianjia.com/ershoufang/104108993245.html
天泰花园   紫薇公寓   三湘大市场  晚报,天泰花园 ,马王堆,111.5,6550,4室2厅,170.24,南 北,简装,高楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104107458727.html
浏阳河精装三房带家具家电 南北通透 采光好配套齐全,中欣楚天熙苑 ,马王堆,119.8,10264,3室2厅,116.73,南 北,其他,高楼层(共35层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113722518.html
东方银座 精装两房 拎包入住 看房提前预约,东方银座 ,马王堆,54,8900,2室1厅,60.68,南 北,其他,27层,2005年,塔楼,https://cs.lianjia.com/ershoufang/104108682442.html
芙蓉广场 浏城桥 复式大平层出售,顺天城 ,浏城桥,318,9194,9室3厅,345.9,东南,简装,高楼层(共28层),2000年,板塔结合,https://cs.lianjia.com/ershoufang/104111937553.html
万家丽双地铁，实用三房东南朝向，配套齐全，自住装修,百纳公寓 ,马王堆,103.8,11450,3室2厅,90.66,南,精装,中楼层(共33层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113267096.html
次新小区 精装修 五江天街南区 南北通透,五江天街南区 ,喜盈门,106,10095,3室2厅,105.01,南 北,精装,中楼层(共30层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104112095006.html
21年交房 自住精装 保养好 业主诚心出售,富基世纪公园 ,金星北,40,7833,2室1厅,51.07,南,精装,高楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113592936.html
雨花区政府旁 次新小区 电梯洋房,合能枫丹丽舍 ,万家丽南路,190.5,13482,4室1厅,141.3,南,毛坯,高楼层(共7层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111746288.html
业主自己装修，中间楼层，诚心出售,中央美郡 ,金星中路,180,14720,3室2厅,122.29,南,精装,中楼层(共25层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112332823.html
万家丽北路 圆梦精装大2房 南北通透 东边户,完美生活小区 ,万家丽北,48,5585,2室2厅,85.95,南 北,精装,高楼层(共32层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104110934966.html
小李好房推荐，毛坯复式洋房，视野好,润和山水郡 ,望城区,120,9277,5室2厅,129.36,南,毛坯,中楼层(共10层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112070644.html
满五唯一，格局周正，配套设施齐全	，视野开阔,时代倾城 ,金星北,94.8,9272,3室2厅,102.25,东南 南,精装,高楼层(共35层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112573386.html
业主自住装修！价格可谈，洋湖新城地铁口,合能洋湖公馆一期 ,洋湖垸,105,12121,3室2厅,86.63,东南 南,精装,低楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111797203.html
正地铁口，104㎡南北通透大两房，精装拎包入住,金盆公寓 ,雨花亭,66.8,6416,2室2厅,104.13,南 北,精装,中楼层(共7层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111222148.html
金茂梅溪湖，中间楼层，业主自住装修，诚心出售。,金茂梅溪湖 ,梅溪湖南岸,149,16041,2室1厅,92.89,东南,精装,18层,2014年,板楼,https://cs.lianjia.com/ershoufang/104111034210.html
保利西海岸B区 双地铁 湘江边 山姆旁 高楼层 毛坯3房,保利西海岸 ,银盆岭,130,13898,3室2厅,93.54,南 北,毛坯,高楼层(共44层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113704664.html
滨江板块 中间楼层 采光好 随时看房 证在手,协信星澜汇 ,观沙岭,123,12425,3室2厅,99,南 北,毛坯,中楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104112832284.html
7号线 长岭地铁口 广济桥 市妇幼 省儿童医院 电梯6楼,鸿园小区 ,东塘,86.8,8949,3室2厅,97,南,简装,中楼层(共8层),2000年,板楼,https://cs.lianjia.com/ershoufang/104113361059.html
澳海叠墅少见户型，买一得一，买房得车库,澳海澜庭 ,金星北,92,7067,4室2厅,130.19,南,毛坯,中楼层(共7层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104111223355.html
二环内，电梯小高层，一梯两户，拎包入住，满五唯一,今利园 ,雨花亭,92.8,6659,3室2厅,139.37,南,精装,高楼层(共12层),2005年,板塔结合,https://cs.lianjia.com/ershoufang/104109139888.html
窑岭 6-7号线 湘雅附二 城市花园 正规三房,城市花园 ,浏城桥,104,8774,3室2厅,118.54,东,其他,29层,2009年,塔楼,https://cs.lianjia.com/ershoufang/104113706742.html
业主诚心出售 价格可谈 房子装修和位置好,颐美会现代城 ,浏城桥,41.8,6929,1室1厅,60.33,南,精装,低楼层(共29层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112480722.html
好房出售价格优惠适合单身人士一家人,佐佑公寓 ,泉塘,14,4483,1室1厅,31.23,东,简装,中楼层(共19层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104113421212.html
烈士公园  单位房  三楼  精装修   拎包即可入住,铁路宿舍 ,烈士公园,52.8,9666,2室1厅,54.63,南 北,精装,中楼层(共6层) ,,板楼,https://cs.lianjia.com/ershoufang/104113590283.html
户型周正通风好采光佳中间楼层价格优势,新点苑 ,韶山南路,89.8,5942,4室2厅,151.15,南,毛坯,中楼层(共7层),2002年,板楼,https://cs.lianjia.com/ershoufang/104113254957.html
40万精装，可看岳麓山，户型周正，业主豪爽之人,钰龙天下二期 ,观沙岭,275,22590,4室1厅,121.74,南,精装,高楼层(共33层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113412951.html
天玺湾 一室一厅公寓 价格实惠,碧桂园天玺湾 ,松雅湖,25,5000,1室1厅,50,南,简装,中楼层(共61层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104109400896.html
长大彩虹都 2室2厅 东南,长大彩虹都 ,铁道学院,79.8,8906,2室2厅,89.61,东南,精装,高楼层(共27层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113447663.html
花园式小区，精装拎包入住，视野好，配套齐全,中江佳境天成 ,赤岗冲,122,10734,3室2厅,113.66,南 北,精装,中楼层(共33层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113575050.html
德思勤次新小区精装修住家三房南北通透拎包入住,丰升德润 ,喜盈门,156,12644,3室2厅,123.38,南 北,精装,中楼层(共29层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104111591859.html
保利大品牌 楼层好 视野宽阔 采光充足 配套设施齐全,保利麓谷林语D区 ,麓谷西,76,9287,2室2厅,81.84,南,精装,中楼层(共18层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104111426625.html
小高层小区，二房二厅，客厅视野开阔，采光足，朝南,英郡年华 ,树木岭,79.8,10074,2室2厅,79.22,南,精装,高楼层(共18层),2012年,板楼,https://cs.lianjia.com/ershoufang/104112631130.html
首付不高 楼层不高 宜居小区 价格上实惠,星沙一区 ,开元路,31.8,5175,3室2厅,61.46,南,精装,中楼层(共5层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112891299.html
长沙市开福区宇成开福广场带租约,宇成开福广场 ,伍家岭,32,7805,1室1厅,41,东南,其他,高楼层(共29层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113363917.html
满五唯一，3栋中间楼层，位置好视野好，4号线正地铁口,恒大绿洲 ,武广新城,82,10315,2室2厅,79.5,南,精装,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109596212.html
正规一房一厅  楼层好 户型周正 朝南,金制小区 ,赤岗冲,26,6930,1室1厅,37.52,南,其他,中楼层(共6层) ,,板楼,https://cs.lianjia.com/ershoufang/104111788792.html
佳兆业君汇上品大四房，南北通透，业主诚心出售。,佳兆业君汇上品 ,跳马,110,6154,4室2厅,178.77,南 北,其他,高楼层(共29层),2013年,板楼,https://cs.lianjia.com/ershoufang/104112642761.html
树木岭，居家两房，不临街安静适合居家，采光充足,龙吉湾小区 ,树木岭,45,6629,2室2厅,67.89,东南,其他,高楼层(共6层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111843046.html
边户带装修一室一厅小户型，，拎包入住，别墅区小区,美洲故事 ,万家丽南路,53,10056,1室1厅,52.71,南,精装,高楼层(共33层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104112345212.html
全新装修  中间楼层 满五唯一！业主诚心卖!,佳兆业君汇上品 ,跳马,65,7121,3室2厅,91.28,南 北,精装,高楼层(共30层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104106383896.html
雨花亭 华银园 万科物业 配套齐全 户型好 正规两室,华银园 ,雨花亭,69.8,8206,2室2厅,85.07,南,其他,低楼层(共17层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104112418151.html
中间品牌此新小区，业主诚心出售,中建璟和城 ,跳马,133,10544,4室2厅,126.14,南 北,精装,低楼层(共30层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112405059.html
设施齐全 楼层好 交通便利 上学便利 园林小区 精装修,明昇壹城 ,武广新城,188,19732,3室2厅,95.28,南,精装,中楼层(共18层),2016年,板楼,https://cs.lianjia.com/ershoufang/104112489298.html
窑岭 6-7号线双地铁口 紫金苑 核工业单位宿舍,核工业地质局宿舍 ,窑岭,56.5,7856,2室1厅,71.92,南,简装,8层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112385394.html
香樟鑫都 有色单位房 南北通透大三房 拎包入住,香樟鑫都 ,喜盈门,130,10841,3室2厅,119.92,南 北,精装,中楼层(共33层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112222244.html
房子在诚心出售，看房要约，价格可以沟通，精装3房,雅致名园 ,武广新城,245,18415,3室1厅,133.05,东南,简装,高楼层(共18层) ,,板楼,https://cs.lianjia.com/ershoufang/104106393185.html
南北通透 清水毛坯 楼层好 随时看房,阳光城尚东湾凌云府 ,武广新城,166,11439,4室2厅,145.12,南 北,其他,中楼层(共49层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112376740.html
高品质小区  配套齐全  近地铁,京武浪琴山一期 ,武广新城,176,18395,3室2厅,95.68,南 北,精装,中楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104111487870.html
万家城清水毛坯 四房 中间楼层 诚意出售,万家城 ,武广新城,150,9775,4室2厅,153.46,南,毛坯,高楼层(共26层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112397224.html
树木岭带入户花园大四房，拎包入住，不临街。看房预约,新城新世界一期 ,树木岭,158,10973,4室2厅,144,南,简装,低楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112387578.html
300万精装，有天有地，四合院别墅，得房率高,万科西街庭院 ,尚东,828,40462,4室3厅,204.64,南 北,其他,3层 ,,平房,https://cs.lianjia.com/ershoufang/104112475928.html
正地铁口，纯别墅小区，装修很好可以随时拎包入住,水云间 ,尚东,420,16667,5室2厅,252,南,其他,4层 ,,板楼,https://cs.lianjia.com/ershoufang/104110903678.html
16次新小区  东南向  环境好 人车分流  楼层好户型好,南城印象 ,喜盈门,118,13278,3室2厅,88.87,东南,精装,高楼层(共32层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112110866.html
上城星座 湘雅附二 业主诚心出售 价格可谈 窑岭6号线,上城星座 ,窑岭,38,7827,1室1厅,48.55,南,其他,低楼层(共31层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112343657.html
业主诚心出售 中间楼层 户型周正 交通便利,锻压小区 ,赤岗冲,42.8,5900,2室2厅,72.55,南 北,精装,中楼层(共8层) ,,板楼,https://cs.lianjia.com/ershoufang/104104480765.html
小四房+ 双阳台 地段成熟 地铁+城铁,保利大都汇 ,高桥,165,14018,4室2厅,117.71,南,毛坯,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112155614.html
人车分流品质楼盘桂花树，带入户花园 纯板楼 拎包入住,佳天瑞宁花园 ,赤岗冲,168,10266,4室2厅,163.65,南 北,精装,高楼层(共33层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104112063139.html
万科魅力之城  心悦里四房  采光好,万科魅力之城 ,武广新城,167,14097,4室2厅,118.47,南,其他,35层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112511344.html
融科纯毛坯四房  中高楼层  总价低,融科东南海 ,树木岭,138,11046,4室2厅,124.94,南,毛坯,中楼层(共34层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104112460521.html
一室一厅，户型周正，拎包入住，泰禹,美洲故事 ,万家丽南路,41,8358,1室1厅,49.06,南,精装,低楼层(共33层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104107593173.html
省直公务员小区，南北通透，好楼层，视野好，环境好,丰升德润 ,喜盈门,185,11892,4室2厅,155.57,南 北,其他,高楼层(共25层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104107882344.html
五矿三期精装修，通风好，景观视野好,五矿万境水岸三期 ,喜盈门,125,13897,2室2厅,89.95,南,其他,中楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104109482726.html
华悦城  高楼层小三房  业主诚意出售,华悦城 ,喜盈门,88.8,10775,3室2厅,82.42,南,精装,高楼层(共26层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104109454014.html
雨花亭 地铁口 云鼎公馆 70年住宅 精装修1房  砂子塘,云鼎公馆 ,雨花亭,52,7824,1室1厅,66.47,南 西,精装,中楼层(共31层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104109752533.html
满五唯一复式好房，业主诚心出售,丽发新城 ,跳马,130,7784,4室3厅,167.01,南 北,简装,高楼层(共23层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104109179763.html
